,,As-Suli,Abbasid Caliphate,c. 880,c. 946
Bannik,Anatoly,Anatoly Bannik,Ukraine,1921,2013
Baramidze,David,David Baramidze,"Georgia,Germany",1988,
Baratz,Abraham,Abraham Baratz,"Romania,France",1895,1975
Barbero,Gerardo,Gerardo Barbero,"Argentina,Hungary",1961,2001
Barcza,Gedeon,Gedeon Barcza,Hungary,1911,1986
Barda,Olaf,Olaf Barda,Norway,1909,1971
"Bardeleben,von",Curt,Curt von Bardeleben,Germany,1861,1924
Barden,Leonard,Leonard Barden,England,1929,
Bareev,Evgeny,Evgeny Bareev,Russia,1966,
Barnes,Thomas Wilson,Thomas Wilson Barnes,England,1825,1874
Barnes,Robert Henry,Robert Henry Barnes,"England,New Zealand",1849,1916
Barsov,Alexei,Alexei Barsov,Uzbekistan,1966,
Bartel,Mateusz,Mateusz Bartel,Poland,1985,
Barua,Dibyendu,Dibyendu Barua,India,1966,
Barus,Cerdas,Cerdas Barus,Indonesia,1961,
Barász,Zsigmond,Zsigmond Barász,Hungary,1878,1935
Basman,Michael,Michael Basman,England,1946,
Bauer,Christian,Christian Bauer,France,1977,
Bauer,Johann Hermann,Johann Hermann Bauer,"Bohemia,Austria",1861,1891
Baumbach,Friedrich,Friedrich Baumbach,Germany,1935,
Becker,Albert,Albert Becker,"Austria,Germany,Argentina",1896,1984
Belakovskaia,Anjelina,Anjelina Belakovskaia,"Ukraine,US",1969,
Belavenets,Liudmila,Liudmila Belavenets,Russia,1940,
Belavenets,Sergey,Sergey Belavenets,Russia,1910,1942
Beliavsky,Alexander,Alexander Beliavsky,"Ukraine,Slovenia",1953,
Belkhodja,Slim,Slim Belkhodja,Tunisia,1962,
Bellin,Jana,Jana Bellin,"Czechoslovakia,England",1947,
Belsitzmann,Zdzisław,Zdzisław Belsitzmann,Poland,c. 1890,1920
Benima,Levi,Levi Benima,Netherlands,1837,1922
Benini,Clarice,Clarice Benini,Italy,1905,1976
Benjamin,Joel,Joel Benjamin,US,1964,
Benko,Pal,Pal Benko,"France,Hungary,US",1928,
Benkö,Francisco,Francisco Benkö,"Germany,Argentina",1910,
Berczes,David,David Berczes,Hungary,1990,
Berg,Emanuel,Emanuel Berg,Sweden,1981,
Berger,Johann,Johann Berger,Austria,1845,1933
Berger,Victor,Victor Berger,"Ukraine,England",1904,1996
Berger,Bela,Bela Berger,"Hungary,Australia",1931,2005
Bergkvist,Nils,Nils Bergkvist,Sweden,1900,?
Bergs,Teodors,Teodors Bergs,Latvia,1902,1966
Berliner,Hans,Hans Berliner,"Germany,US",1929,2017
Bern,Ivar,Ivar Bern,Norway,1967,
Berndtsson,Karl,Karl Berndtsson,Sweden,1892,1943
Bernstein,Jacob,Jacob Bernstein,US,?,1958
Bernstein,Yaacov,Yaacov Bernstein,Israel,1939,
Bernstein,Sidney Norman,Sidney Norman Bernstein,US,1911,1992
Bernstein,Ossip,Ossip Bernstein,"Ukraine,France",1882,1962
Bertok,Mario,Mario Bertok,Croatia,1929,2008
Beskow,Katarina,Katarina Beskow,Sweden,1867,1939
